ASMA,CASES_PER_DAY,DEATHS_PER_DAY
1,0,0
0,0,0
1,0,0
1,0,0
0,0,1
2,0,0
0,0,0
1,0,0
0,0,0
2,0,0
1,0,0
0,0,1
0,0,1
3,0,0
4,0,0
1,0,0
1,0,0
3,0,0
1,0,0
6,0,0
5,0,0
3,0,0
2,0,0
4,0,0
0,0,0
2,0,0
4,0,0
0,0,0
1,0,0
2,0,0
1,0,0
1,0,1
0,0,0
1,0,0
2,0,0
1,0,0
1,0,0
2,0,0
0,0,0
0,0,0
4,0,1
0,0,1
1,0,1
4,0,0
3,0,0
0,0,0
2,0,0
1,0,0
3,0,1
1,0,0
3,0,0
3,0,0
0,0,0
0,0,0
2,0,0
4,0,0
3,0,0
1,3,1
2,1,0
1,0,0
1,0,1
8,1,2
1,0,1
5,1,0
1,0,0
8,0,1
2,0,0
2,3,0
4,1,1
10,8,3
8,26,0
9,27,2
9,59,0
10,48,1
14,35,6
8,67,8
16,90,5
21,98,7
16,106,8
29,99,14
6,65,15
21,47,17
40,128,33
83,163,44
82,140,41
77,173,59
100,210,62
38,158,64
47,141,72
111,304,82
91,276,81
83,316,108
112,299,99
88,335,85
40,217,99
34,223,108
118,531,138
112,448,129
107,514,166
71,405,117
91,485,164
60,404,126
45,427,150
135,842,201
130,838,187
114,860,186
128,881,223
143,1019,221
51,726,247
64,667,243
141,1339,289
134,1297,274
127,1238,291
167,1319,278
144,1506,305
74,948,274
80,928,326
161,1671,328
155,1677,310
169,1672,366
173,1654,317
102,1271,357
90,1282,306
81,1157,313
200,2351,337
152,1909,349
217,2093,387
170,2175,356
212,2214,379
107,1387,327
71,1238,370
197,2672,414
208,2574,386
246,2834,410
208,2709,415
226,2991,407
125,1780,329
85,1444,335
251,3451,419
232,3075,336
252,3330,347
248,3340,313
263,3308,276
116,1754,230
103,1541,238
290,3824,257
253,3441,202
241,3440,163
258,2915,146
274,2411,140
163,1228,101
110,592,66
296,1053,50
249,179,28
