EMBARAZO,CASES_PER_DAY,DEATHS_PER_DAY
0,0,0
0,0,0
1,0,0
0,0,0
1,0,1
2,0,0
2,0,0
1,0,0
2,0,0
1,0,0
1,0,0
3,0,1
2,0,1
7,0,0
6,0,0
2,0,0
1,0,0
1,0,0
2,0,0
2,0,0
3,0,0
4,0,0
2,0,0
5,0,0
0,0,0
2,0,0
2,0,0
1,0,0
2,0,0
1,0,0
2,0,0
0,0,1
1,0,0
1,0,0
2,0,0
1,0,0
5,0,0
0,0,0
2,0,0
0,0,0
4,0,1
2,0,1
3,0,1
1,0,0
4,0,0
0,0,0
2,0,0
2,0,0
0,0,1
0,0,0
2,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
3,0,0
0,3,1
2,1,0
0,0,0
0,0,1
2,1,2
4,0,1
3,1,0
1,0,0
3,0,1
0,0,0
0,3,0
5,1,1
2,8,3
2,26,0
4,27,2
3,59,0
0,48,1
2,35,6
2,67,8
3,90,5
6,98,7
5,106,8
10,99,14
3,65,15
7,47,17
9,128,33
10,163,44
20,140,41
16,173,59
23,210,62
5,158,64
6,141,72
20,304,82
22,276,81
24,316,108
17,299,99
23,335,85
11,217,99
4,223,108
12,531,138
19,448,129
21,514,166
14,405,117
13,485,164
14,404,126
13,427,150
26,842,201
17,838,187
21,860,186
29,881,223
34,1019,221
13,726,247
19,667,243
23,1339,289
31,1297,274
29,1238,291
26,1319,278
31,1506,305
11,948,274
17,928,326
30,1671,328
35,1677,310
36,1672,366
29,1654,317
24,1271,357
20,1282,306
18,1157,313
58,2351,337
34,1909,349
36,2093,387
28,2175,356
34,2214,379
28,1387,327
22,1238,370
46,2672,414
62,2574,386
46,2834,410
48,2709,415
57,2991,407
25,1780,329
19,1444,335
56,3451,419
40,3075,336
66,3330,347
52,3340,313
56,3308,276
20,1754,230
24,1541,238
43,3824,257
56,3441,202
66,3440,163
53,2915,146
52,2411,140
34,1228,101
30,592,66
56,1053,50
44,179,28
