NEUMONIA,CASES_PER_DAY,DEATHS_PER_DAY
5,0,0
3,0,0
4,0,0
2,0,0
5,0,1
7,0,0
10,0,0
6,0,0
13,0,0
11,0,0
1,0,0
11,0,1
9,0,1
11,0,0
9,0,0
9,0,0
7,0,0
8,0,0
10,0,0
20,0,0
12,0,0
11,0,0
9,0,0
9,0,0
5,0,0
15,0,0
15,0,0
15,0,0
6,0,0
15,0,0
13,0,0
4,0,1
7,0,0
7,0,0
13,0,0
11,0,0
9,0,0
11,0,0
3,0,0
8,0,0
16,0,1
15,0,1
10,0,1
11,0,0
7,0,0
3,0,0
8,0,0
11,0,0
9,0,1
10,0,0
7,0,0
5,0,0
8,0,0
4,0,0
8,0,0
12,0,0
3,0,0
8,3,1
8,1,0
3,0,0
5,0,1
9,1,2
14,0,1
9,1,0
12,0,0
12,0,1
2,0,0
11,3,0
14,1,1
14,8,3
16,26,0
19,27,2
19,59,0
9,48,1
21,35,6
33,67,8
32,90,5
27,98,7
42,106,8
51,99,14
55,65,15
48,47,17
94,128,33
139,163,44
161,140,41
163,173,59
203,210,62
178,158,64
182,141,72
255,304,82
245,276,81
275,316,108
263,299,99
288,335,85
247,217,99
249,223,108
392,531,138
340,448,129
441,514,166
338,405,117
362,485,164
334,404,126
332,427,150
520,842,201
509,838,187
492,860,186
497,881,223
520,1019,221
538,726,247
479,667,243
737,1339,289
699,1297,274
650,1238,291
669,1319,278
734,1506,305
620,948,274
661,928,326
796,1671,328
849,1677,310
858,1672,366
792,1654,317
773,1271,357
753,1282,306
710,1157,313
917,2351,337
904,1909,349
907,2093,387
930,2175,356
914,2214,379
771,1387,327
825,1238,370
1101,2672,414
1075,2574,386
1149,2834,410
1083,2709,415
1148,2991,407
900,1780,329
879,1444,335
1284,3451,419
1079,3075,336
1135,3330,347
1131,3340,313
1107,3308,276
830,1754,230
891,1541,238
1202,3824,257
1152,3441,202
1147,3440,163
1100,2915,146
1058,2411,140
842,1228,101
774,592,66
1033,1053,50
828,179,28
